id,genus,name,lat,lon,observed_on,place,observer,license,url
272020427,Reticulitermes,Reticulitermes flavipes,33.838825,-87.269438,2025-04-21,"Ridge Rd, Jasper, AL, US",aj_s14,cc-by-nc,https://www.inaturalist.org/observations/272020427
272202385,Reticulitermes,Reticulitermes flavipes,34.913211,-87.725380,2025-04-14,"Along Ijams Branch, off of Co. Rd. 275, Lauderdale County, AL, USA",jeffgarner,cc-by-nc,https://www.inaturalist.org/observations/272202385
311563422,Reticulitermes,Reticulitermes flavipes,30.751645,-87.916199,2025-09-04,"Bay Minette, AL, US",acockrell,,https://www.inaturalist.org/observations/311563422
317144627,Reticulitermes,Reticulitermes flavipes,34.039396,-86.029003,2017-05-06,"Gadsden, AL, US",premiumsaltz,cc-by-nc,https://www.inaturalist.org/observations/317144627
321833102,Reticulitermes,Reticulitermes flavipes,30.511062,-87.915345,2025-10-19,"Fairhope, AL 36532, USA",cft,cc0,https://www.inaturalist.org/observations/321833102
325588148,Reticulitermes,Reticulitermes flavipes,31.976596,-86.563077,2025-11-08,"Civitan Cir, Fort Deposit, AL, US",pweaver3,cc-by-nc,https://www.inaturalist.org/observations/325588148
326262330,Reticulitermes,Reticulitermes flavipes,31.790013,-85.894082,2025-11-12,"Troy, AL 36081, USA",adiamond,cc-by-nc,https://www.inaturalist.org/observations/326262330
328647001,Reticulitermes,Reticulitermes flavipes,33.994283,-86.018598,2025-11-28,"Gadsden, AL 35901, USA",kbakkegard,cc-by-nc,https://www.inaturalist.org/observations/328647001
338249995,Reticulitermes,Reticulitermes flavipes,33.811712,-85.776197,2026-02-11,"Jacksonville, AL 36265, USA",dakota200,,https://www.inaturalist.org/observations/338249995
341271516,Reticulitermes,Reticulitermes flavipes,34.481199,-87.293353,2026-03-04,"Moulton, AL 35650, USA",blackbips,cc-by-nc,https://www.inaturalist.org/observations/341271516
346853050,Reticulitermes,Reticulitermes flavipes,34.037178,-86.614406,2026-03-31,"Blount County, AL, USA",kzoebel,cc0,https://www.inaturalist.org/observations/346853050
378075920,Reticulitermes,Reticulitermes flavipes,34.636041,-86.574016,2026-07-04,"Huntsville, AL 35803, USA",buzzoffnerds,cc-by-nc,https://www.inaturalist.org/observations/378075920
39667551,Reticulitermes,Reticulitermes flavipes,30.281683,-87.607170,2020-03-07,"Grass Island, Orange Beach, AL, US",richardthecrittercatcher,,https://www.inaturalist.org/observations/39667551
45753820,Reticulitermes,Reticulitermes flavipes,34.577273,-86.732753,2020-05-12,"Madison County, AL, USA",niemillernature,cc-by-nc,https://www.inaturalist.org/observations/45753820
63369901,Reticulitermes,Reticulitermes flavipes,33.333247,-86.722695,2020-10-23,"Oak Mountain State Park, Pelham, AL, US",krosenthal,cc-by-nc,https://www.inaturalist.org/observations/63369901
64636673,Reticulitermes,Reticulitermes flavipes,31.794266,-85.959664,2020-11-09,"Troy, AL, US",jackcon7,,https://www.inaturalist.org/observations/64636673
73031961,Reticulitermes,Reticulitermes flavipes,32.684875,-85.973149,2021-04-05,"Eclectic, AL 36024, USA",artman7,cc-by-nc,https://www.inaturalist.org/observations/73031961
74545320,Reticulitermes,Reticulitermes flavipes,34.079755,-87.213454,2021-04-19,"Arley, AL 35541, USA",tylerb2021,cc-by-nc,https://www.inaturalist.org/observations/74545320
9823480,Reticulitermes,Reticulitermes flavipes,33.334841,-87.793647,2017-11-19,"Alabama, United States",jcabbott,cc-by,https://www.inaturalist.org/observations/9823480
9823481,Reticulitermes,Reticulitermes flavipes,33.334841,-87.793647,2017-11-18,"Alabama, United States",jcabbott,cc-by,https://www.inaturalist.org/observations/9823481
